ticker,earn_date,sig,entry_date,entry,first12,mcap_pit,tier,sector,industry,profitable,lumpy,val_ok,rev_yoy,pe,ps,ret6,xs6,ret12,xs12,ret24,xs24
IKT,2023-05-15,S2b,2023-05-16,3.91,True,0.121,micro,Healthcare,Biotechnology,False,False,False,0.402,,975.2,-0.7568,-0.8622,-0.5494,-0.8568,-0.4854,-0.9735
IKT,2023-08-14,S2b,2023-08-15,2.34,False,0.012,nano,Healthcare,Biotechnology,False,False,False,16.767,,63.6,0.0128,-0.1293,-0.4744,-0.7406,-0.2521,-0.7436
ILMN,2021-04-28,S2b,2021-04-29,389.04,True,56.799,large,Healthcare,Diagnostics & Research,True,False,False,0.272,90.2,16.8,0.0378,-0.0626,-0.2582,-0.252,-0.486,-0.5062
ILMN,2021-08-06,S1超+S2b,2021-08-09,492.36,False,71.885,large,Healthcare,Diagnostics & Research,True,False,True,0.779,93.6,19.7,-0.2732,-0.315,-0.5756,-0.5192,-0.6355,-0.6747
ILMN,2023-05-05,S2a,2023-05-08,190.37,True,30.078,large,Healthcare,Diagnostics & Research,False,False,True,-0.111,,6.6,-0.4343,-0.5014,-0.4347,-0.706,-0.582,-0.9885
ILMN,2024-08-07,S1,2024-08-08,126.7,True,20.145,large,Healthcare,Diagnostics & Research,False,False,True,-0.054,,4.5,-0.1234,-0.2629,-0.2537,-0.4694,,
ILMN,2024-11-06,S1+S2a,2024-11-07,155.15,False,24.669,large,Healthcare,Diagnostics & Research,False,False,True,-0.035,,5.6,-0.5079,-0.4561,-0.2143,-0.3545,,
IMA,2021-11-10,S2b,2021-11-11,195.12,True,7.0,mid,Healthcare,Biotechnology,False,False,False,0.324,,514.8,-0.7675,-0.62,-0.8696,-0.7419,-0.9102,-0.8898
IMA,2022-11-07,S2b,2022-11-08,27.6,False,1.001,small,Healthcare,Biotechnology,False,False,False,0.709,,71.9,2.0435,1.9539,0.7957,0.633,-0.2348,-0.8469
IMA,2023-08-10,S2b,2023-08-11,51.6,True,2.183,mid,Healthcare,Biotechnology,False,False,False,4.246,,154.8,-0.6814,-0.8141,-0.6186,-0.832,-0.7143,-1.1793
IMAX,2021-04-29,S1,2021-04-30,20.62,True,1.224,small,Communication Services,Entertainment,False,False,True,0.11,,10.2,-0.0858,-0.1935,-0.2328,-0.2331,0.0204,-0.0055
IMAX,2021-07-27,S1+S2b,2021-07-28,16.49,False,0.979,small,Communication Services,Entertainment,False,False,True,4.754,,7.2,-0.0097,-0.0236,0.0564,0.1179,0.1304,0.0571
IMAX,2022-04-28,S2b,2022-04-29,15.82,False,0.929,small,Communication Services,Entertainment,False,False,True,0.549,,4.5,-0.1448,-0.097,0.3243,0.2976,0.0796,-0.1976
IMAX,2022-07-29,S1超+S2a,2022-08-01,16.95,True,0.951,small,Communication Services,Entertainment,False,False,True,0.452,,3.9,0.0165,0.0077,0.0855,-0.0439,0.2496,-0.1128
IMAX,2023-04-27,S2a+S2b,2023-04-28,20.95,False,1.144,small,Communication Services,Entertainment,False,True,True,0.448,,3.9,-0.1437,-0.1382,-0.1847,-0.4288,0.1437,-0.217
IMAX,2023-07-26,S2a,2023-07-27,18.85,False,1.03,small,Communication Services,Entertainment,False,False,True,0.325,,3.1,-0.2499,-0.3352,0.0658,-0.1543,0.4308,-0.0143
IMAX,2023-10-25,S1超+S2b,2023-10-26,18.24,True,0.996,small,Communication Services,Entertainment,True,False,True,0.511,72.0,2.8,-0.0598,-0.3006,0.1234,-0.2992,0.7664,0.0625
IMDX,2022-03-11,S2b,2022-03-14,23.0,True,2.121,mid,Healthcare,Diagnostics & Research,False,False,False,6.135,,274.5,-0.2087,-0.162,-0.7826,-0.7372,-0.8717,-1.1457
IMDX,2023-05-15,S2a,2023-05-16,5.28,True,0.63,small,Healthcare,Diagnostics & Research,False,False,False,-0.218,,167.5,-0.2273,-0.3327,-0.4186,-0.7259,-0.4716,-0.9597
IMDX,2023-08-10,S1超+S2b,2023-08-11,3.49,False,0.029,nano,Healthcare,Diagnostics & Research,False,True,True,0.954,,14.3,-0.1805,-0.3132,-0.1519,-0.3652,-0.2521,-0.7171
IMDX,2023-11-09,S2b,2023-11-10,2.78,False,0.023,nano,Healthcare,Diagnostics & Research,False,True,False,5.403,,18.3,0.0396,-0.151,0.0432,-0.3341,1.446,0.8595
IMDX,2025-05-12,S2b,2025-05-13,2.77,True,0.079,micro,Healthcare,Diagnostics & Research,False,False,False,11.148,,31.3,1.8339,1.6822,0.8412,0.5617,,
IMMR,2021-08-16,S2b,2021-08-17,5.71,True,0.178,micro,Technology,Software - Application,True,False,True,0.942,18.7,5.7,-0.2492,-0.2401,-0.2136,-0.1881,0.1301,0.1173
IMMR,2022-11-14,S2b,2022-11-15,6.03,True,0.207,micro,Technology,Software - Application,True,True,True,0.953,14.1,5.7,0.066,0.0208,-0.0471,-0.1933,0.3083,-0.205
