tk,ret,pkr,mul,dd,pass,spy
AMT,-0.313,0.074,-0.413,-0.453,True,0.8083985885793605
CI,-0.098,0.084,-0.213,-0.274,False,0.3366632132252856
INTU,-0.376,0.872,-0.404,-0.682,True,0.9115290453121392
ALAB,5.014,5.742,-0.006,-0.602,False,0.3459120426413127
NSC,0.384,0.413,-0.246,-0.356,True,0.8158989576920381
PSX,1.942,2.151,-0.091,-0.444,False,0.8063489460020139
NXPI,0.542,0.831,-0.289,-0.465,False,0.914825446507102
KMI,1.512,1.717,-0.056,-0.203,True,0.9184096152561223
APO,1.074,2.058,-0.062,-0.428,False,1.0483914870344244
GM,0.441,0.645,-0.504,-0.59,True,0.8152785838880152
EOG,1.285,1.643,-0.092,-0.334,True,0.8152785838880152
URI,2.213,2.293,-0.083,-0.37,True,0.9189518987282053
APD,0.251,0.327,-0.206,-0.318,True,0.8023451580849241
SLB,0.806,1.327,-0.046,-0.466,False,0.9153754763333528
REGN,0.268,1.419,-0.025,-0.597,True,0.9077429187656374
ROST,0.898,1.151,-0.397,-0.441,True,0.8960696934591954
BSX,-0.017,1.468,-0.196,-0.605,False,0.8008788571757468
PCAR,1.673,1.846,-0.034,-0.277,True,0.8210445108029081
ET,1.889,2.092,-0.14,-0.258,False,0.8939588917373562
MPWR,3.317,4.47,-0.045,-0.516,True,0.9129008781490326
COHR,9.506,11.166,-0.212,-0.548,True,1.0914806255069096
WBD,0.912,1.138,-0.521,-0.579,False,0.9002582425274663
ALL,1.068,1.068,-0.189,-0.273,True,0.9229778298067113
DLR,0.62,0.862,-0.284,-0.485,False,1.0588743903614963
CIEN,8.316,11.631,-0.186,-0.455,True,0.9525434598786133
D,0.291,0.324,-0.34,-0.354,False,1.079143048901234
SRE,0.307,0.416,-0.143,-0.316,True,0.9153045257781423
DAL,1.326,1.341,-0.322,-0.479,False,0.8266800905400389
TEL,0.475,0.811,-0.257,-0.343,True,0.8083985885793605
CARR,0.395,0.563,-0.375,-0.408,True,0.8083985885793605
MET,0.523,0.551,-0.217,-0.351,True,0.9077429187656374
CTVA,0.843,0.885,-0.065,-0.348,True,0.7012401685308081
PSA,0.113,0.172,-0.266,-0.3,True,0.8951288530965131
TRGP,6.476,7.026,-0.025,-0.316,False,0.9077429187656374
RKLB,13.094,20.159,-0.503,-0.555,False,0.8707585038041896
F,0.319,0.815,-0.211,-0.565,True,0.8083985885793605
OKE,0.126,0.424,-0.177,-0.422,True,0.4601387616180128
EW,-0.188,0.154,-0.473,-0.543,False,0.817223650596163
ROK,0.755,0.8,-0.351,-0.451,True,0.8151543709828799
VST,9.418,13.762,-0.021,-0.488,False,0.9235790984689998
BKR,1.391,2.084,-0.165,-0.465,False,0.7530148430834935
ETR,1.328,1.421,-0.163,-0.226,False,1.1090685719559783
LNG,2.158,2.836,-0.007,-0.249,False,0.9235790984689998
NUE,0.884,1.285,-0.251,-0.478,True,0.7956440481290941
EBAY,0.963,1.093,-0.394,-0.536,True,1.0769473707054105
AXON,3.604,5.752,-0.346,-0.603,False,0.8939588917373562
CRDO,24.13,28.342,-0.287,-0.611,False,0.9579919443375613
FANG,1.581,2.19,-0.171,-0.421,False,0.8939588917373562
OXY,0.998,1.978,-0.146,-0.508,False,0.8063489460020139
AZO,1.322,2.142,0.0,-0.326,True,0.8841834436270584
TTWO,1.022,1.119,-0.244,-0.315,True,0.9100519882658946
NDAQ,0.27,0.54,0.0,-0.234,True,0.4601387616180128
MCHP,0.146,0.328,-0.559,-0.638,True,0.7012401685308081
GRMN,0.916,1.148,-0.414,-0.546,True,0.9153754763333528
