tk,ret,pkr,mul,dd,pass,spy
SANM,2.878,3.449,-0.288,-0.327,True,0.8960775008926849
BAX,-0.666,0.072,-0.757,-0.773,True,0.8444963687421909
SPXC,2.311,2.521,-0.119,-0.335,True,1.079143048901234
WMS,0.333,0.567,-0.339,-0.501,True,0.8038550464912124
CGNX,-0.05,0.184,-0.693,-0.741,True,0.9077429187656374
SF,0.674,1.06,-0.257,-0.363,True,0.9077429187656374
GWRE,-0.265,0.507,-0.409,-0.608,False,0.2505226277659509
VSAT,0.529,0.654,-0.874,-0.898,False,0.8023451580849241
BMRN,-0.132,0.094,-0.254,-0.318,True,0.3366632132252856
AHR,3.439,3.439,-0.012,-0.136,False,0.9722910543231689
BROS,1.055,1.393,-0.361,-0.453,False,0.9825319139118855
JEF,1.012,2.073,-0.125,-0.544,True,0.9570107914462302
CRL,-0.441,0.118,-0.757,-0.782,True,0.8152785838880152
SAIA,0.85,1.681,-0.244,-0.609,True,0.8083985885793605
TECH,-0.288,0.322,-0.567,-0.672,True,0.8939588917373562
PODD,-0.295,0.556,-0.437,-0.613,False,0.8939588917373562
KRYS,2.407,2.468,-0.12,-0.423,False,0.7681342245819609
HAS,-0.017,0.269,-0.529,-0.55,True,0.8158989576920381
WULF,0.129,0.727,-0.974,-0.985,False,0.7902786905653632
WTFC,1.412,1.412,-0.145,-0.407,True,0.8008788571757468
VMI,1.46,1.564,-0.188,-0.452,True,0.8083985885793605
GMED,-0.049,0.212,-0.452,-0.479,True,0.8152785838880152
TEM,0.048,0.757,-0.279,-0.59,False,0.35157231283303414
SCI,0.497,0.704,-0.068,-0.271,True,0.9235790984689998
AR,2.896,4.392,-0.022,-0.584,True,1.0441306949630862
CYTK,0.592,1.018,-0.498,-0.724,False,0.9002582425274663
ALGM,1.279,1.511,-0.404,-0.686,False,0.817223650596163
FRT,0.226,0.27,-0.239,-0.35,False,0.8152785838880152
AES,-0.326,0.153,-0.578,-0.634,False,1.0979161861708495
GSAT,4.804,5.052,0.0,-0.507,False,0.8804920125742404
ESI,1.088,1.24,-0.302,-0.4,True,0.8083985885793605
GME,-0.589,0.123,-0.818,-0.838,False,0.8960696934591954
AGX,16.065,16.824,-0.332,-0.437,True,0.7650973072828906
ORI,1.402,1.561,-0.072,-0.204,True,0.9158349783405422
ARW,0.784,0.999,-0.231,-0.382,True,0.9077429187656374
KTOS,1.673,5.589,-0.016,-0.646,False,0.4790408499704797
GTLS,0.099,0.261,-0.458,-0.57,False,0.9070845929063815
OGE,0.767,0.825,-0.029,-0.219,False,0.9077429187656374
BLD,0.658,1.577,-0.337,-0.494,True,0.8063489460020139
HUBS,-0.641,0.628,-0.675,-0.8,False,1.0445997578143573
HLI,1.295,2.455,-0.04,-0.366,True,1.0769473707054105
AAOI,8.475,14.208,0.0,-0.476,False,0.3365989385833634
TKR,1.022,1.072,-0.309,-0.376,True,0.8210445108029081
HSIC,0.093,0.19,-0.199,-0.327,True,0.8063489460020139
COMP,1.946,2.188,-0.026,-0.508,False,0.43068388876180785
CORT,2.531,3.558,-0.043,-0.719,True,0.5286721966646131
VIRT,0.615,0.659,-0.163,-0.278,True,0.3624955406865249
FIVE,-0.015,0.336,-0.699,-0.764,True,0.8918076158487358
ENSG,0.781,1.33,-0.026,-0.318,True,0.7084923402267744
SNEX,1.114,1.375,-0.067,-0.209,True,0.3459120426413127
ALSN,2.179,2.672,-0.18,-0.336,True,0.8083985885793605
WLK,-0.018,1.083,-0.254,-0.642,True,0.8063489460020139
HALO,0.804,0.903,-0.291,-0.491,True,0.9129008781490326
FLS,1.05,1.591,-0.027,-0.388,True,0.8449489876838356
LEVI,-0.016,0.053,-0.523,-0.547,True,0.8492316675465152
OSCR,0.538,0.538,-0.477,-0.534,False,0.4790408499704797
KYMR,0.896,0.933,-0.818,-0.835,False,0.8008788571757468
MP,0.272,1.312,-0.754,-0.82,True,0.7133130548182629
BRKR,-0.107,0.374,-0.57,-0.687,True,0.9129008781490326
IBRX,2.665,3.602,-0.211,-0.424,False,0.29549142617085744
SWKS,-0.588,0.078,-0.708,-0.729,True,1.1674176932502456
MSGS,1.248,1.292,-0.258,-0.32,False,0.9077429187656374
ADC,0.34,0.418,-0.163,-0.295,True,0.9117117228618064
FORM,2.303,2.591,-0.48,-0.549,True,0.469963978132097
FRHC,1.803,2.392,-0.311,-0.459,True,1.0553395687879839
DAR,-0.248,0.158,-0.633,-0.683,True,0.800105771635057
ALKS,1.023,1.155,-0.16,-0.332,False,0.8158989576920381
LTH,2.309,2.413,-0.069,-0.491,False,1.0914806255069096
CUBE,0.068,0.311,-0.226,-0.32,True,0.9152764175839752
TTD,-0.628,1.712,-0.663,-0.876,True,0.9129008781490326
POWL,30.887,37.759,-0.209,-0.558,False,0.8957651064345447
WAL,0.175,0.338,-0.066,-0.303,True,0.3523711509989502
OSK,0.315,0.609,-0.402,-0.429,True,0.8083985885793605
ALV,0.433,0.665,-0.239,-0.393,True,0.8474313197793706
AAON,2.422,3.358,-0.039,-0.489,True,0.9068989246256576
DOCU,-0.809,0.287,-0.84,-0.876,False,0.8918076158487358
CNM,1.024,1.985,-0.158,-0.387,True,1.1106103848807871
CIFR,5.05,6.73,-0.444,-0.717,False,0.4790408499704797
HIMS,3.879,7.927,-0.596,-0.789,False,0.7133130548182629
BLDR,0.89,3.708,-0.097,-0.686,True,1.108782636834599
RRC,1.586,2.324,-0.146,-0.377,False,0.8068813551466532
MTCH,-0.719,0.244,-0.806,-0.844,False,0.8008788571757468
GKOS,1.696,2.16,-0.317,-0.537,False,0.8038550464912124
CHWY,-0.724,0.28,-0.799,-0.843,False,0.8872970929303667
ARE,-0.658,0.0,-0.743,-0.743,True,0.8414830468157146
RIOT,-0.063,0.729,-0.871,-0.926,False,0.9240420904448989
AOS,-0.028,0.383,-0.292,-0.427,True,0.817223650596163
MXL,1.906,2.31,-0.763,-0.881,False,0.9153754763333528
AGCO,-0.005,0.196,-0.361,-0.435,True,0.8008788571757468
TGTX,3.942,4.155,-0.064,-0.42,False,0.7681342245819609
CDP,0.576,0.576,-0.195,-0.237,False,0.817223650596163
MIDDV,0.0,0.0,0.0,0.0,True,0.7902786905653632
MBLY,-0.741,0.178,-0.824,-0.851,False,0.7756737241680982
CAVA,-0.423,0.091,-0.685,-0.711,False,0.27276108602901417
QBTS,31.639,61.194,-0.049,-0.71,False,0.7756737241680982
ZWS,1.008,1.158,-0.215,-0.473,True,0.8486307417784629
FSS,1.013,1.04,-0.008,-0.315,True,0.7883701412459787
SSD,0.908,0.985,-0.301,-0.445,True,0.8008788571757468
MIDD,-0.036,0.121,-0.376,-0.444,True,0.7902786905653632
TTEK,0.02,0.742,-0.092,-0.475,True,0.8827733116416026
RHP,0.969,1.065,-0.022,-0.321,True,0.8063489460020139
HQY,0.456,0.807,-0.058,-0.361,False,0.8191242097919089
KNSL,1.004,2.168,-0.115,-0.468,True,0.9032471620661233
BIO,-0.513,0.354,-0.645,-0.738,True,0.9158349783405422
TEX,0.535,0.666,-0.419,-0.513,True,0.817223650596163
KNTK,0.23,0.325,-0.211,-0.303,True,0.3365989385833634
EMN,-0.258,0.186,-0.399,-0.493,True,0.8063489460020139
SNAP,-0.921,0.385,-0.935,-0.953,False,0.9184096152561223
POOL,-0.308,0.738,-0.441,-0.679,True,1.0979161861708495
REXR,-0.511,0.026,-0.569,-0.58,True,0.8964042922773103
JBTM,0.387,0.609,0.0,-0.315,False,0.3402754300257873
QRVO,-0.534,0.0,-0.739,-0.739,True,0.8038550464912124
HXL,0.809,0.845,-0.135,-0.382,False,0.8414830468157146
JXN,2.83,3.402,-0.142,-0.415,True,0.8707585038041896
YOU,0.83,1.045,-0.51,-0.51,False,0.9722910543231689
Z,-0.71,0.092,-0.763,-0.783,False,0.9235790984689998
ZG,-0.717,0.081,-0.766,-0.783,False,0.9235790984689998
CRUS,0.629,0.99,-0.29,-0.469,True,1.1319312032615425
RSI,2.977,3.015,0.0,-0.42,False,0.5145064309712304
AXTA,0.131,0.365,-0.304,-0.384,True,0.8068813551466532
UGI,-0.076,0.07,-0.527,-0.538,True,0.8038550464912124
MAC,0.824,0.853,-0.092,-0.396,False,0.4367501935981275
NFG,-0.03,0.193,-0.057,-0.209,False,0.3523711509989502
MIRM,5.005,5.17,-0.123,-0.325,False,1.0914806255069096
MRCY,2.092,2.092,-0.341,-0.391,False,0.8882713706238712
PLXS,1.923,2.061,-0.147,-0.349,True,0.8889505425257744
NEU,1.761,2.029,-0.085,-0.328,True,0.8083985885793605
IDCC,3.207,4.884,-0.43,-0.444,True,0.7012401685308081
TRNO,0.107,0.119,-0.238,-0.263,True,0.839122542773342
CORZ,5.514,7.011,-0.016,-0.649,True,0.47042532339479326
SLAB,0.512,0.525,-0.403,-0.59,False,0.8158989576920381
FAF,0.301,0.302,-0.285,-0.437,True,0.9184096152561223
KMX,-0.603,0.185,-0.764,-0.801,True,0.8641563917621924
ETSY,-0.56,0.794,-0.753,-0.863,True,0.9077429187656374
PTCT,1.216,1.349,-0.508,-0.694,False,0.8951288530965131
MHK,-0.384,0.078,-0.607,-0.635,True,0.817223650596163
VSH,1.471,2.132,-0.504,-0.636,True,0.800105771635057
AVTR,-0.734,0.17,-0.803,-0.832,True,0.817223650596163
HR,0.289,0.315,-0.29,-0.317,False,0.8882713706238712
LAD,-0.218,0.05,-0.52,-0.527,True,0.9032471620661233
LQDA,9.437,9.491,-0.241,-0.468,False,0.8799905064336937
GAP,-0.312,0.058,-0.755,-0.761,False,0.9033375583012822
LSTR,0.306,0.419,-0.256,-0.388,True,0.9158349783405422
GTES,0.52,0.625,-0.457,-0.466,True,0.8023451580849241
MYRG,3.766,4.158,-0.206,-0.503,True,0.8158989576920381
GOLF,1.453,1.457,-0.255,-0.334,True,0.9077429187656374
PPC,0.522,1.781,-0.08,-0.49,False,0.8083985885793605
AWI,0.547,0.981,-0.408,-0.461,True,0.8151543709828799
ACMR,4.232,4.666,-0.734,-0.848,True,0.8939588917373562
RRR,0.858,0.947,-0.217,-0.417,False,0.8008788571757468
AVT,1.411,1.567,-0.103,-0.271,True,0.7910291609182505
MOS,-0.311,1.258,-0.359,-0.716,False,0.9235790984689998
ST,-0.126,0.155,-0.674,-0.717,True,0.8151543709828799
LEA,-0.113,0.178,-0.503,-0.578,True,0.8008788571757468
LNTH,3.028,3.57,-0.167,-0.595,False,0.8158989576920381
KGS,2.061,2.225,-0.014,-0.386,True,0.4065598090233251
VSEC,4.58,4.58,-0.207,-0.303,False,0.9152764175839752
EPRT,0.246,0.407,-0.324,-0.384,True,0.8158989576920381
BB,0.351,0.351,-0.777,-0.778,False,0.6924569738518525
PAYC,-0.705,0.186,-0.751,-0.79,False,0.8038550464912124
PCOR,-0.089,0.91,-0.172,-0.566,False,0.9183491458907984
SRRK,0.597,0.663,-0.859,-0.868,False,0.6995295486826165
LKQ,-0.411,0.208,-0.454,-0.548,True,0.8152785838880152
CAMT,2.718,3.962,-0.502,-0.632,True,0.7940674142832158
TMHC,0.047,0.092,-0.213,-0.279,True,0.312202414973364
RYN,-0.215,0.253,-0.289,-0.433,False,0.8008788571757468
GVA,3.104,3.389,-0.326,-0.394,False,0.8083985885793605
VFC,-0.751,0.021,-0.86,-0.863,True,0.8008788571757468
LGND,2.33,2.373,-0.504,-0.551,False,1.0473654159746326
AROC,0.676,0.814,-0.069,-0.169,True,0.35157231283303414
NOV,0.055,0.34,-0.38,-0.537,False,0.9348875943452808
AN,0.807,1.227,-0.13,-0.295,True,0.9392095351609058
SSRM,1.511,2.113,-0.653,-0.678,True,0.8226430744019975
MORN,-0.352,0.418,-0.433,-0.6,True,0.817223650596163
SM,0.512,1.906,-0.185,-0.65,False,0.817223650596163
CHRD,0.926,1.892,-0.099,-0.539,False,0.8038550464912124
INGR,0.279,0.975,-0.055,-0.364,False,0.8008788571757468
KLIC,2.37,2.37,-0.318,-0.604,True,1.0688051793726707
CROX,0.597,1.323,-0.393,-0.739,True,1.0699264163248094
M,0.714,1.271,-0.311,-0.696,False,1.0200057525374278
APPF,0.92,2.742,-0.042,-0.554,False,0.9818010136316995
TWST,-0.387,0.007,-0.931,-0.932,False,1.0553395687879839
S,-0.316,0.167,-0.535,-0.602,False,0.9882074341914673
GTX,5.254,5.745,0.0,-0.358,False,0.9032471620661233
STWD,0.124,0.297,-0.201,-0.232,True,1.0914806255069096
MTDR,1.027,1.822,-0.02,-0.483,False,0.9158349783405422
VSXY,2.366,2.833,-0.356,-0.695,False,0.41093227511759234
MATX,1.913,1.913,-0.219,-0.536,True,1.108782636834599
FLG,-0.517,0.276,-0.746,-0.801,True,0.8008788571757468
MCY,0.943,0.943,-0.54,-0.553,True,0.9235790984689998
FBIN,-0.37,0.027,-0.614,-0.624,True,0.9235790984689998
PSN,-0.015,1.099,-0.129,-0.585,True,0.7174498455101386
FND,-0.379,0.507,-0.543,-0.697,True,1.0979161861708495
CZR,-0.703,0.169,-0.823,-0.848,False,0.9229778298067113
PATH,-0.734,0.021,-0.784,-0.789,False,0.687398698837079
CWST,0.156,0.46,-0.132,-0.377,True,0.9070845929063815
WH,0.273,0.653,-0.161,-0.372,False,0.8083985885793605
ROAD,3.123,4.309,-0.276,-0.336,False,0.7640857883003258
BLCO,-0.184,0.018,-0.463,-0.472,False,0.3104603454080639
NSA,0.088,0.283,-0.423,-0.55,True,0.8152785838880152
PCTY,-0.594,0.013,-0.654,-0.658,False,0.6953580442761287
ESTC,-0.643,0.141,-0.736,-0.768,False,0.7637692252488415
IBP,1.737,3.164,-0.184,-0.427,True,0.9068989246256576
LMND,0.103,0.536,-0.832,-0.839,False,0.6995295486826165
DUOL,0.424,5.353,-0.232,-0.833,False,0.9642882755060376
CRSP,-0.59,0.194,-0.769,-0.807,False,0.914825446507102
NE,0.816,1.662,0.0,-0.318,True,0.3624955406865249
TFX,-0.662,0.019,-0.74,-0.745,True,0.8083985885793605
URBN,0.853,1.172,-0.528,-0.564,True,0.8960696934591954
GXO,-0.165,0.068,-0.487,-0.488,False,0.31798203026120775
NOVT,0.357,0.544,-0.177,-0.467,False,0.9772327339969007
ENPH,-0.753,0.775,-0.862,-0.922,False,1.0445997578143573
LYFT,-0.717,0.073,-0.848,-0.858,False,0.8038550464912124
ENVA,5.967,5.967,-0.234,-0.428,True,0.7296158296339583
PBF,4.845,5.968,-0.189,-0.76,False,0.8083985885793605
RUSHA,1.589,1.734,-0.072,-0.273,True,0.8008788571757468
PECO,0.201,0.223,-0.076,-0.151,True,0.31265581263209286
KRG,0.648,0.701,-0.185,-0.291,False,0.9077429187656374
LB,0.037,0.223,-0.367,-0.482,False,0.3365989385833634
OUT,0.83,0.888,-0.61,-0.678,False,0.8008788571757468
ACIW,0.171,0.32,-0.142,-0.35,False,0.4040468847299692
RLI,0.34,0.789,-0.115,-0.435,True,0.9184096152561223
NJR,0.656,0.7,-0.008,-0.278,False,0.7723806986817616
SON,0.054,0.066,-0.287,-0.329,False,0.8951288530965131
ALK,-0.136,0.291,-0.476,-0.554,False,0.7012401685308081
CAR,0.876,8.115,-0.292,-0.836,False,0.8152785838880152
CLF,-0.458,0.902,-0.665,-0.824,False,0.9153754763333528
IRDM,0.432,0.622,-0.6,-0.753,False,0.8486307417784629
GTLB,-0.298,0.629,-0.567,-0.734,False,0.4475503520748323
LAUR,3.039,3.104,-0.176,-0.253,False,0.7012401685308081
PRM,3.559,3.971,-0.063,-0.359,False,0.47042532339479326
RIG,-0.076,0.438,-0.596,-0.659,False,0.5237083682003405
BKH,0.162,0.2,-0.33,-0.37,True,0.9068989246256576
OTEX,-0.392,0.086,-0.468,-0.51,False,0.9153045257781423
MTRN,3.113,3.314,-0.039,-0.478,True,0.9032471620661233
ZETA,2.025,4.332,-0.118,-0.7,False,0.8970465635872524
SPHR,3.771,3.882,-0.475,-0.523,False,0.6995295486826165
RDNT,0.949,1.565,-0.549,-0.562,True,0.8023451580849241
AMRX,2.196,2.262,-0.761,-0.789,False,0.8939588917373562
WTM,0.731,0.946,-0.175,-0.202,True,1.108782636834599
TVTX,0.903,0.994,-0.822,-0.831,False,0.7296158296339583
EBC,0.58,0.58,-0.034,-0.25,True,0.469963978132097
STEP,0.015,0.857,-0.526,-0.602,True,0.7902786905653632
UEC,2.112,4.941,-0.301,-0.535,False,1.1106103848807871
PEGA,-0.506,0.118,-0.761,-0.786,False,0.8158989576920381
CE,-0.683,0.183,-0.751,-0.79,True,0.8113170241498278
GNTX,-0.188,0.172,-0.332,-0.43,True,0.8038550464912124
XMTR,2.002,2.025,-0.647,-0.819,False,1.011249835382936
WEX,-0.205,0.351,-0.367,-0.532,False,0.8152785838880152
RITM,-0.012,0.241,-0.098,-0.273,True,0.4296912153811059
BC,-0.144,0.034,-0.574,-0.588,True,0.9301268199814903
RELY,0.269,0.526,-0.358,-0.579,False,0.8799905064336937
GHC,1.006,1.04,-0.129,-0.198,True,0.839122542773342
VAL,0.062,0.662,-0.576,-0.638,False,0.5145064309712304
KVYO,-0.468,0.598,-0.582,-0.739,False,0.469963978132097
ASB,0.479,0.485,-0.394,-0.414,True,1.0592810854597001
TXG,-0.71,0.494,-0.947,-0.965,False,0.8939588917373562
ALHC,1.48,1.48,-0.538,-0.75,False,0.9068989246256576
MTN,-0.483,0.144,-0.556,-0.612,False,0.8936448440189919
DAVE,34.214,34.214,-0.582,-0.66,False,0.9803740930367866
TREX,-0.466,0.543,-0.669,-0.786,True,1.072440009303707
ADT,0.137,0.514,-0.208,-0.477,False,0.9183491458907984
SBRA,1.269,1.428,-0.031,-0.168,False,0.9017388574286835
HRB,0.567,1.505,0.0,-0.555,False,0.9772327339969007
SEI,9.817,11.211,-0.198,-0.554,False,0.8038550464912124
MARA,-0.32,2.87,-0.84,-0.959,True,0.9720231542881468
GPGI,3.11,5.423,-0.148,-0.557,True,1.079143048901234
VVV,0.251,0.561,-0.181,-0.393,True,0.8038550464912124
CNO,1.14,1.169,-0.367,-0.38,True,0.8939588917373562
OPEN,-0.725,0.377,-0.972,-0.979,False,0.7956440481290941
SITE,-0.432,0.303,-0.479,-0.6,True,0.9229778298067113
CHH,-0.046,0.341,-0.269,-0.455,True,0.8038550464912124
PRIM,3.432,8.668,-0.037,-0.581,False,1.0483914870344244
HASI,-0.123,0.146,-0.716,-0.752,True,1.072440009303707
IEP,-0.676,0.172,-0.737,-0.775,False,0.8939588917373562
TNGX,6.501,7.59,-0.713,-0.915,False,0.7152398286710651
REZI,-0.024,0.395,-0.551,-0.56,True,0.8038550464912124
SYNA,-0.208,0.0,-0.732,-0.732,True,0.9068989246256576
KNSA,3.526,3.602,-0.249,-0.388,True,1.1090685719559783
BOOT,1.071,1.656,-0.343,-0.606,False,0.9486150673233658
KTB,0.639,0.789,-0.462,-0.507,True,0.9720231542881468
WSC,-0.001,0.91,-0.457,-0.715,True,1.108782636834599
MGY,1.079,1.678,-0.014,-0.381,True,0.8063489460020139
KBR,-0.138,0.746,-0.256,-0.574,False,0.7331253058096918
DLB,-0.361,0.161,-0.378,-0.464,True,1.1674176932502456
UCTT,1.714,1.987,-0.626,-0.704,True,0.8152785838880152
TNL,0.715,0.781,-0.336,-0.437,True,0.8158989576920381
CECO,14.991,17.63,0.0,-0.479,False,0.9772327339969007
FELE,0.353,0.408,-0.16,-0.292,True,0.8063489460020139
FULT,0.527,0.527,-0.098,-0.299,True,0.4367501935981275
WING,0.123,1.726,-0.238,-0.721,True,1.0482840373356628
SR,0.284,0.551,-0.201,-0.253,True,0.8970465635872524
VCYT,0.343,0.357,-0.656,-0.715,False,0.8083985885793605
CENX,2.752,4.996,-0.54,-0.821,False,0.8038550464912124
KRC,-0.254,0.157,-0.594,-0.649,True,0.8083985885793605
LIVN,-0.069,0.046,-0.618,-0.635,False,0.8158989576920381
COLD,-0.487,0.052,-0.692,-0.708,False,0.8939588917373562
LIF,1.123,3.107,-0.0,-0.656,False,0.7251919664215694
SKY,0.644,1.109,-0.153,-0.479,True,0.9077429187656374
WAY,-0.457,0.043,-0.561,-0.579,False,0.3619550759866952
HLNE,-0.041,1.383,-0.348,-0.623,True,0.9067423416857745
AZZ,2.914,3.182,-0.238,-0.357,True,1.044868208592217
CSW,1.238,2.518,-0.217,-0.462,True,0.9251539988181638
LBRDK,-0.789,0.163,-0.811,-0.837,True,0.8939588917373562
LBRDA,-0.783,0.162,-0.805,-0.833,True,0.8939588917373562
TENB,-0.218,0.089,-0.669,-0.696,False,0.9068989246256576
MUR,0.719,1.431,-0.097,-0.585,False,0.8038550464912124
EPAM,-0.86,0.179,-0.875,-0.894,True,0.8008788571757468
EPR,0.668,0.72,-0.229,-0.356,False,0.9077429187656374
CBT,1.03,1.634,0.0,-0.488,False,1.0688051793726707
PI,2.224,4.43,-0.073,-0.738,False,0.8158989576920381
DIOD,0.413,0.646,-0.541,-0.695,True,0.9077429187656374
NVST,-0.394,0.135,-0.671,-0.71,True,0.9229778298067113
CRC,0.953,1.629,-0.058,-0.448,False,0.8008788571757468
HHH,0.042,0.291,-0.117,-0.314,False,0.4003591307095087
IPGP,-0.42,0.106,-0.748,-0.772,True,0.9229778298067113
PJT,1.01,1.463,-0.093,-0.325,True,0.6919278004007945
CRNX,1.319,2.638,-0.043,-0.579,False,0.7227313954702346
BBWI,-0.485,0.626,-0.661,-0.792,False,1.0526802648765994
ACAD,-0.073,0.168,-0.481,-0.556,False,0.7223857372488862
CVSA,3.215,4.077,-0.351,-0.421,False,0.7092571954931832
EE,0.48,0.664,-0.483,-0.546,False,0.9803740930367866
RXO,0.922,1.018,-0.274,-0.431,False,0.3459120426413127
BMI,0.542,1.653,-0.247,-0.551,True,0.8151543709828799
ELF,1.623,6.262,-0.299,-0.773,False,0.8038550464912124
OPLN,1.217,1.366,-0.384,-0.41,True,0.8152785838880152
PFSI,0.846,2.447,-0.176,-0.498,True,0.9068989246256576
BCO,0.372,0.874,-0.356,-0.386,False,0.8151543709828799
ACLS,1.883,2.241,-0.314,-0.788,False,0.6953580442761287
HCC,3.554,5.418,-0.088,-0.455,False,0.8152785838880152
GFF,3.946,4.222,0.0,-0.354,True,0.9152764175839752
MMSI,0.257,0.996,-0.065,-0.453,False,1.0588743903614963
LAZ,0.11,0.528,-0.363,-0.442,True,0.8063489460020139
SEB,0.136,0.559,-0.376,-0.44,False,0.8063489460020139
MIR,0.137,0.889,0.0,-0.468,False,0.3619550759866952
INSW,4.617,5.499,-0.17,-0.504,False,0.839122542773342
HGTY,0.238,0.419,-0.222,-0.311,False,0.8882713706238712
TPC,3.483,4.482,-0.065,-0.409,False,0.5191388529255945
CATY,0.877,0.877,-0.252,-0.401,True,0.8023451580849241
DORM,0.338,0.64,-0.387,-0.493,True,0.8068813551466532
OLLI,-0.101,0.676,-0.547,-0.595,True,0.9091099180899882
DOCS,-0.382,1.38,-0.485,-0.783,True,0.9825319139118855
PLNT,-0.298,0.512,-0.414,-0.612,True,0.8023451580849241
CRK,1.693,4.64,-0.104,-0.642,False,0.9077429187656374
AXTI,5.831,13.793,-0.878,-0.906,True,0.919146109233246
EXLS,-0.016,0.902,-0.074,-0.513,True,0.8444963687421909
IRT,-0.198,0.115,-0.491,-0.543,True,0.8481091356595043
IRTC,-0.186,0.238,-0.726,-0.726,False,1.108782636834599
RLAY,1.362,1.625,-0.734,-0.834,False,0.7883701412459787
LUNR,1.869,5.491,-0.7,-0.719,True,0.7251919664215694
FBP,1.46,1.46,-0.115,-0.324,True,0.8023451580849241
EXTR,1.762,1.844,-0.245,-0.672,False,0.9032471620661233
VNT,-0.137,0.363,-0.501,-0.545,False,0.8008788571757468
ONDS,1.491,3.406,-0.894,-0.894,False,0.9803740930367866
DNLI,-0.519,0.453,-0.787,-0.854,False,0.9229778298067113
NAMS,0.553,0.831,-0.342,-0.44,False,0.28600448134317613
FOUR,-0.434,0.447,-0.649,-0.716,False,0.8008788571757468
CNR,3.141,6.052,-0.017,-0.521,True,0.8063489460020139
POWI,-0.026,0.263,-0.63,-0.707,True,1.0688051793726707
WSFS,0.703,0.703,-0.374,-0.412,True,0.8970465635872524
WHD,0.421,0.991,-0.106,-0.514,True,0.8083985885793605
BNL,0.058,0.065,-0.417,-0.417,True,0.7196929505274969
CALM,0.97,1.779,-0.152,-0.37,False,0.7096607194221622
POST,-0.123,0.164,-0.164,-0.282,True,0.5520332820693921
BILL,-0.783,0.912,-0.821,-0.907,False,1.0688051793726707
ANF,1.261,3.71,-0.648,-0.699,False,0.8960696934591954
ICUI,-0.196,0.132,-0.561,-0.612,True,0.9818010136316995
BFAM,-0.496,0.17,-0.616,-0.672,False,0.8008788571757468
SLG,0.136,0.62,-0.253,-0.539,False,0.4806725888833032
MWA,0.734,1.091,-0.344,-0.413,True,0.8038550464912124
THO,-0.372,0.137,-0.474,-0.537,True,1.0716900389076125
BOX,0.068,0.499,-0.169,-0.446,False,0.9882074341914673
APLE,0.478,0.521,-0.132,-0.33,False,0.8038550464912124
SMG,-0.654,0.052,-0.827,-0.835,True,1.0562360821484993
MHO,1.246,1.509,-0.488,-0.515,True,0.9153754763333528
CHEF,2.253,2.279,-0.392,-0.561,False,0.8158989576920381
ABG,-0.033,0.494,-0.311,-0.424,True,0.914825446507102
BELFB,6.475,6.827,-0.082,-0.365,True,0.8804920125742404
BWIN,-0.143,0.76,-0.475,-0.702,False,0.4790408499704797
CPRX,3.829,3.839,-0.043,-0.454,True,0.9772327339969007
ITRI,0.751,1.868,-0.134,-0.436,False,0.9038164007494209
BELFA,5.618,5.842,-0.094,-0.434,True,0.8804920125742404
LBRT,1.595,2.622,-0.119,-0.588,False,0.817223650596163
MAT,-0.36,0.257,-0.363,-0.493,False,0.9032471620661233
GEF,0.286,0.299,-0.195,-0.311,True,0.7583593743470534
RCUS,0.204,0.487,-0.714,-0.808,False,0.9818010136316995
PLMR,1.021,1.656,-0.331,-0.538,False,0.8939588917373562
OLED,-0.581,0.16,-0.581,-0.639,True,0.8038550464912124
FG,-0.25,0.274,-0.443,-0.562,True,0.4685336928505044
TDS,1.389,2.059,-0.025,-0.221,False,0.495963465196392
KBH,0.643,1.36,-0.35,-0.483,True,0.8296997172338034
IDYA,1.13,1.776,-0.215,-0.692,False,1.0483914870344244
BHF,0.369,0.414,-0.165,-0.352,False,0.8008788571757468
BKD,1.17,1.3,-0.678,-0.686,False,0.6953580442761287
KAI,0.537,1.104,-0.223,-0.412,True,0.7956440481290941
AGO,0.561,0.8,-0.162,-0.302,True,0.9183491458907984
LASR,1.51,2.184,-0.759,-0.825,False,0.8939588917373562
PLUG,-0.894,0.786,-0.972,-0.984,False,0.919146109233246
YETI,-0.444,0.217,-0.696,-0.75,True,0.9486150673233658
PII,-0.448,0.049,-0.741,-0.753,False,0.914825446507102
GNW,1.885,1.885,-0.042,-0.266,True,1.108782636834599
LBTYK,-0.264,0.063,-0.426,-0.46,False,0.9229778298067113
BEAM,-0.064,0.965,-0.594,-0.793,False,0.9818010136316995
LBTYA,-0.223,0.067,-0.465,-0.498,False,0.9229778298067113
KFY,-0.02,0.106,-0.391,-0.449,True,0.7672503854394792
BKU,0.428,0.486,-0.568,-0.632,True,0.8063489460020139
WRBY,0.865,0.926,0.0,-0.423,False,0.3365989385833634
AVNT,-0.023,0.428,-0.328,-0.529,True,1.0979161861708495
PVH,-0.324,0.25,-0.603,-0.636,False,0.8872970929303667
PAY,0.97,2.088,-0.457,-0.493,True,0.9002582425274663
GPI,0.774,2.013,-0.142,-0.411,True,0.8038550464912124
UWMC,-0.549,0.616,-0.59,-0.746,False,0.9486150673233658
PPLI,-0.679,0.0,-0.78,-0.78,False,1.0441306949630862
SMR,3.856,24.565,-0.081,-0.829,False,0.7756737241680982
CNK,1.15,1.398,-0.444,-0.622,False,0.8008788571757468
AMBA,-0.082,1.252,-0.587,-0.817,False,0.8932411584377942
